SBD,toan,van,ly,hoa,sinh,khtn,su,dia,giao duc,khxh,ngoai ngu
19000199,8.8,8.75,,,,,5.25,8.25,8.5,,9.6
19000198,9.4,7.5,8.5,3.25,6,,,,,,9.8
19000197,8.4,8,,,,,7.75,8.75,9.75,,
19000196,9,4.5,8.5,5.25,5.5,,,,,,9
19000195,8.8,3.75,9,9.75,7.25,,,,,,7
19000194,9,5.25,7.75,5,2,,,,,,9.4
19000193,8.8,7.5,7.75,9.25,9.5,,,,,,9.4
19000192,7.2,9,,,,,9.25,9.75,10,,8.8
19000191,8.8,8.25,8.25,5.25,3.25,,,,,,10
19000190,8,8,,,,,5.5,7.75,9.75,,10
19000189,9.6,4.75,6,9,9.5,,,,,,7
19000188,9.2,7.25,5.25,9.5,9.5,,,,,,9
19000187,9,9,7,8.5,9,,,,,,9.4
19000186,7.8,9,,,,,6.5,8.5,8.25,,10
19000185,6.4,8.75,,,,,8.5,9.25,9.75,,9.4
19000184,9.4,6.75,8.5,8.25,5,,,,,,5
19000183,8.6,7,7.75,4.75,5.75,,,,,,10
19000182,8,6.75,5.5,8.5,4.25,,,,,,9.4
19000181,8.6,7.5,8.25,8.25,7,,,,,,8.6
19000180,9.6,8,8.75,9.25,7,,,,,,9.4
19000179,9.2,8.5,,,,,5.25,7.25,8.5,,9.8
19000178,8,8.25,,,,,6.25,8,8.75,,
19000177,8.8,5.75,4.25,8.5,9.25,,,,,,6.2
19000176,9,7.25,8.5,7.25,6,,,,,,9.6
19000175,8.6,7.25,6.75,6.5,5.5,,,,,,9
19000174,9.4,7,9.25,8.75,4,,,,,,6.2
19000173,8.4,8.75,,,,,5,8,8.5,,9.6
19000172,7.8,6,5.5,8.5,8,,,,,,7.6
19000171,9.2,8,8.5,8.25,4.25,,,,,,7.8
19000170,8,9.5,,,,,9,8.75,9.75,,8.6
19000169,8.4,8.75,,,,,4.5,6.75,7.5,,9.4
19000168,9,9.25,,,,,8,9,9,,9.2
19000167,7.8,9.25,,,,,6.5,8.25,9.25,,9.8
19000166,8.6,7.5,,,,,9.5,8,8.75,,9.2
19000165,7.8,8,6,8.25,6.75,,,,,,9
19000164,8.4,7.75,8,6,3.25,,,,,,9.6
19000163,9.6,7,6.75,9,9.25,,,,,,4
19000162,9.2,7,8,8.5,5,,,,,,7.6
19000161,7.6,8.25,,,,,9.25,9,9,,8.2
19000160,9.4,7.75,9.25,5.5,5.5,,,,,,9.6
19000159,8.4,9,,,,,6.75,7,9,,9.6
19000158,9,7.25,8.5,9.25,3.75,,,,,,8.8
19000157,7.8,3.75,3,7.75,7,,,,,,5.6
19000156,9.2,7,8,5.75,6,,,,,,9
19000155,9.6,6.25,8.25,9.25,9.75,,,,,,
19000154,9.6,7.5,8.5,8.25,6.5,,,,,,7.4
19000153,9,7.5,8.75,7.25,7.25,,,,,,9.6
19000152,9.2,6.25,9,9,4.75,,,,,,9.8
19000151,8.8,6.5,8,9.5,5.75,,,,,,7.4
19000150,9.4,6.75,8.5,9,4.75,,,,,,7.6
19000149,8,8.5,,,,,9.25,9.5,9.75,,7.8
19000148,8.8,9,,,,,6.25,8.5,9.75,,9.8
19000147,9.4,8,4.75,8.75,10,,,,,,8.8
19000146,9.6,6.75,9.25,9,5.5,,,,,,7
19000145,8.8,9.25,,,,,4,6.75,7.25,,9.8
19000144,6.8,9,,,,,9.5,9.5,9.5,,9
19000143,8.6,5.75,7.75,5.25,4.75,,,,,,9.8
19000142,8.4,9.25,,,,,6,8.5,9.25,,9.6
19000141,8.8,8,8.5,9.25,5.25,,,,,,7.6
19000140,7.4,5.5,5.5,3.5,4.75,,,,,,6.6
19000139,8.6,6.25,7.75,8.75,5.25,,,,,,7.2
19000138,7.8,8,,,,,4.25,7,8.25,,9.6
19000137,5.8,8.5,,,,,9.5,9.75,10,,9.4
19000136,7.6,8.25,,,,,6.25,8,9,,9.8
19000135,9,8.5,,,,,4.75,7.75,7.75,,8.4
19000134,8.4,9.25,,,,,6.25,7,8.5,,8.8
19000133,8.4,9,,,,,3.5,6.25,8.5,,8.4
19000132,5.8,8,,,,,8.5,9,9.25,,9
19000131,9.2,6.25,8.75,8.75,5.25,,,,,,9.2
19000130,6.2,6.5,,,,,3.5,6,6.25,,6.6
19000129,9,6.75,8.25,9.75,5.25,,,,,,9
19000128,8.8,7,4,7.75,9.5,,,,,,5.6
19000127,9.6,7.5,8.25,9,5.25,,,,,,9.4
19000126,8.8,8.5,,,,,6.5,8.25,9.25,,8.8
19000125,6.4,8,,,,,6.5,7.75,9.5,,9.4
19000124,8.8,9,,,,,5.5,8,9,,10
19000123,8,9.25,,,,,7,7.75,9,,9
19000122,7.4,9,,,,,4,5.75,8.25,,9.8
19000121,8.2,6,8.75,8.5,2.75,,,,,,9
19000120,7.4,8,,,,,9.25,9,10,,7
19000119,8.4,9,,,,,8.5,8,9.75,,10
19000118,9,6.5,9.25,9,2.25,,,,,,9
19000117,6.2,7.25,,,,,6.5,6.5,8.75,,
19000116,6.4,9.5,,,,,9.5,9.5,10,,7.2
19000115,7.4,9.25,,,,,5.75,7.75,7.5,,9.2
19000114,9,9.25,,,,,4,7,8.5,,9.6
19000113,9,8,,,,,7.75,8.75,9.5,,9.8
19000112,8.4,5,7.75,9.25,4,,,,,,6.6
19000111,7.2,8,,,,,4.75,6,7,,9.8
19000110,9.2,7.25,9,9,5.25,,,,,,8
19000109,8.2,7.25,,,,,3.75,7.5,5.75,,10
19000108,9.6,6.5,9.5,9.5,6.25,,,,,,9.4
19000107,7,7,,,,,5.25,7.75,8.75,,9
19000106,7,8,,,,,9,9,10,,9.2
19000105,9,6,8.25,6.25,5.25,,,,,,9.8
19000104,8.4,8.75,,,,,5.75,7.75,9,,9.6
19000103,8.2,5.25,8,8.75,6.75,,,,,,9
19000102,9,6.5,7.25,4,3.75,,,,,,9.4
19000101,9.2,8.5,9,8.75,5.5,,,,,,8
19000299,8.2,9.5,,,,,5.25,7.25,9,,9.6
19000298,8.8,8,8.5,9.25,6.25,,,,,,8.8
19000297,8.6,8,,,,,5.75,6.5,8.5,,9.6
19000296,8.6,9,,,,,6.25,6.75,9.25,,10
19000295,8.8,7.25,7.75,2.25,2.75,,,,,,10
19000294,8.4,8.75,,,,,7.5,8.75,9.75,,9.6
19000293,7.8,8.25,,,,,7,8.25,8.25,,9.4
19000292,5.6,8.75,,,,,9.5,9,9,,8.4
19000291,8,9,,,,,5.25,6.75,9.5,,9.6
19000290,8.8,8.25,,,,,5.5,8.75,9.5,,10
19000289,8.8,9,,,,,6.75,7,8.5,,9.8
19000288,7.6,8.25,,,,,5.25,7.25,7.5,,10
19000287,9.4,6,7.75,8,6,,,,,,10
19000286,9.8,5.5,9.25,9.75,3.5,,,,,,8.2
19000285,9.2,6.25,8,8.75,2.75,,,,,,7
19000284,9.2,5,8.25,4.75,5.25,,,,,,9.8
19000283,8.4,5.25,7.25,1.25,4.5,,,,,,9.8
19000282,8.6,6,8,3.25,3.75,,,,,,9.8
19000281,8.4,7.5,,,,,5.75,7,9.25,,9.8
19000280,9,6.5,7.75,9,2.5,,,,,,5
19000279,9.6,7.75,8.5,9,5.25,,,,,,7.6
19000278,8.8,6.75,9.75,4.5,5,,,,,,9.4
19000277,9.2,8.75,,,,,6,8.5,9.75,,9.2
19000276,9,8.75,,,,,7.5,8.75,9.25,,10
19000275,8.4,9.5,,,,,9,9,9.25,,10
19000274,7.2,8.75,,,,,9.75,9.25,10,,9.6
19000273,9,8,,,,,6.25,7.75,9,,9.8
19000272,8,7.5,,,,,9.25,8.5,8,,6.6
19000271,9.2,8,,,,,8.25,8.25,9,,9.6
19000270,6,7.25,,,,,9,9.75,9.75,,8.2
19000269,8.4,8.75,,,,,7,8.75,9.5,,9.6
19000268,9,9.5,,,,,6.25,8.5,9.5,,10
19000267,8.6,7,5.75,9.25,9.75,,,,,,8.4
19000266,9,5.75,6.25,7.75,9.75,,,,,,6.8
19000265,9.4,5.25,8.75,3.5,3.75,,,,,,9.2
19000264,9.2,6.25,8,8.25,3.75,,,,,,4.2
19000263,7.6,8.75,,,,,9.25,9.25,9.75,,8.2
19000262,9.4,9,,,,,7.75,8.5,9.25,,9.6
19000261,9.2,8.5,8.5,9.25,7.25,,,,,,8.8
19000260,9.2,7,8,6,4.75,,,,,,9.2
19000259,9,6.5,8.5,8.75,6.5,,,,,,8.2
19000258,8,7,6,4.75,4.75,,,,,,9.8
19000257,9,7,8,2.75,5.25,,,,,,9.8
